ID,中文动作,英文动作,类别,来源关系,元动作ID,道具ID,定位,来源,链接,演示范围,说明,成功判据建议,新增演示与定位
I01,指尖持续绕轴旋转,Continuous in-hand rotation,inhand,direct,P10;P18;P20,cylinder;duck;cross_block;bun;notched_block;screw;stepped_block;piggy;apple;strawberry;fire_hydrant;bulb;corner_block;lego_brick;can;toothpaste;flashlight;toy_bucket;bottle;cube,项目页：Rotate Different Objects using the Fingertips,In-Hand Object Rotation via Rapid Motor Adaptation;World Synesthesia Model for Generalizable and Robust Dexterous In-Hand Manipulation,https://haozhi.io/hora/;https://wmcraftnet.github.io/,首页同一段 HORA 官方实机视频；主任务为持续绕轴旋转。,在已有稳定抓握中交替换指，让物体持续绕轴转动。,统计有效旋转角 / 时间与掉落率；不使用单一目标姿态作为主要指标。,"[{""source"": ""WMCRAFT"", ""media"": ""wm_z"", ""label"": ""WM-Craftnet · Z 轴连续旋转 · 顺序更换物体"", ""locator"": ""Real-world rollout：0–24 s 鸭子，24–35 s 圆柱，35–50 s 十字块，50–73 s 馒头，73–94 s 双缺口块。"", ""scope"": ""Real-world rollout：0–24 s 鸭子，24–35 s 圆柱，35–50 s 十字块，50–73 s 馒头，73–94 s 双缺口块。"", ""relation"": ""对应任务 / 条件"", ""props"": [""duck"", ""cylinder"", ""cross_block"", ""bun"", ""notched_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_y"", ""label"": ""WM-Craftnet · Y 轴连续旋转 · 螺丝刀"", ""locator"": ""Diverse Axis / Sim-to-Real / Screwdriver；绕较短方向，不是工具长轴快转。"", ""scope"": ""Diverse Axis / Sim-to-Real / Screwdriver；绕较短方向，不是工具长轴快转。"", ""relation"": ""对应任务 / 条件"", ""props"": [""screw""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_x"", ""label"": ""WM-Craftnet · X 轴连续旋转 · 阶梯块"", ""locator"": ""Diverse Axis / Tests in Simulation / X-Axis Rotation / Stepped block。"", ""scope"": ""Diverse Axis / Tests in Simulation / X-Axis Rotation / Stepped block。"", ""relation"": ""对应任务 / 条件"", ""props"": [""stepped_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_axial"", ""label"": ""WM-Craftnet · 螺丝刀长轴快速旋转"", ""locator"": ""Application: Tool Use / Fast screwdriver rotation；定性仿真，不演示紧固。"", ""scope"": ""Application: Tool Use / Fast screwdriver rotation；定性仿真，不演示紧固。"", ""relation"": ""对应任务 / 条件"", ""props"": [""screw""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_z"", ""label"": ""跨物体集合与演示范围"", ""locator"": ""Real-world rollout：0–24 s 鸭子，24–35 s 圆柱，35–50 s 十字块，50–73 s 馒头，73–94 s 双缺口块。"", ""scope"": ""本视频只展示鸭子、圆柱、十字块、馒头、双缺口块；其余道具见原站同章节及 X/Y 轴小节。不能把一个视频当成全部道具录像。"", ""relation"": ""道具集合 / 分项定位见道具库"", ""props"": [""piggy"", ""apple"", ""strawberry"", ""fire_hydrant"", ""bulb"", ""corner_block"", ""lego_brick"", ""can"", ""toothpaste"", ""flashlight"", ""toy_bucket"", ""bottle""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_duck_57"", ""label"": ""WM-Craftnet · 鸭子 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 鸭子 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 鸭子 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""duck""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_corner_block_58"", ""label"": ""WM-Craftnet · 拐角块 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 拐角块 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 拐角块 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""corner_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_cross_block_59"", ""label"": ""WM-Craftnet · 十字块 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 十字块 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 十字块 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""cross_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_cylinder_60"", ""label"": ""WM-Craftnet · 圆柱 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 圆柱 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 圆柱 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""cylinder""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_piggy_61"", ""label"": ""WM-Craftnet · 储蓄罐 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 储蓄罐 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 储蓄罐 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""piggy""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_strawberry_62"", ""label"": ""WM-Craftnet · 草莓 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 草莓 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 草莓 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""strawberry""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_fire_hydrant_63"", ""label"": ""WM-Craftnet · 消防栓 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 消防栓 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 消防栓 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""fire_hydrant""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_cube_64"", ""label"": ""WM-Craftnet · 蓝色方块 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 蓝色方块 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 蓝色方块 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""cube""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_bulb_65"", ""label"": ""WM-Craftnet · 灯泡 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 灯泡 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 灯泡 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""bulb""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_apple_66"", ""label"": ""WM-Craftnet · 苹果 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 苹果 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 苹果 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""apple""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_notched_block_67"", ""label"": ""WM-Craftnet · 双缺口圆柱 · Z 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 双缺口圆柱 · Z 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 双缺口圆柱 · Z 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""notched_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_notched_block_68"", ""label"": ""WM-Craftnet · 单缺口 / 窄体 / 双缺口块 · 未见物体"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 单缺口 / 窄体 / 双缺口块 · 未见物体"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 单缺口 / 窄体 / 双缺口块 · 未见物体"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""notched_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_toothpaste_69"", ""label"": ""WM-Craftnet · 牙膏管 · Y 轴短轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 牙膏管 · Y 轴短轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 牙膏管 · Y 轴短轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""toothpaste""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_corner_block_70"", ""label"": ""WM-Craftnet · 拐角块 · Y 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 拐角块 · Y 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 拐角块 · Y 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""corner_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_toy_bucket_71"", ""label"": ""WM-Craftnet · 玩具垃圾桶 · Y 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 玩具垃圾桶 · Y 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 玩具垃圾桶 · Y 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""toy_bucket""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_cylinder_72"", ""label"": ""WM-Craftnet · 拐角圆柱 · Y 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 拐角圆柱 · Y 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 拐角圆柱 · Y 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""cylinder""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_can_73"", ""label"": ""WM-Craftnet · 易拉罐 · Y 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 易拉罐 · Y 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 易拉罐 · Y 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""can""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_flashlight_74"", ""label"": ""WM-Craftnet · 手电筒 · Y 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 手电筒 · Y 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 手电筒 · Y 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""flashlight""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_bottle_75"", ""label"": ""WM-Craftnet · 瓶子 · Y 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 瓶子 · Y 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 瓶子 · Y 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""bottle""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_object_lego_brick_76"", ""label"": ""WM-Craftnet · 凸点积木 · X 轴"", ""locator"": ""One Policy for Multi-Object Rotation / Diverse Axis / 凸点积木 · X 轴"", ""scope"": ""One Policy for Multi-Object Rotation / Diverse Axis / 凸点积木 · X 轴"", ""relation"": ""物体 / 轴条件，非新增动作"", ""props"": [""lego_brick""]}]"
I02,旋转到指定朝向,Goal-conditioned reorientation,inhand,direct,P10;P18;P19;P20,cube;cylinder;bunny,项目页：Real-World Deployment / Cube,ViserDex: Visual Sim-to-Real for Robust Dexterous In-hand Reorientation;Learning Dexterous In-Hand Manipulation;TeleDexter: Towards Human-level Dexterous Teleoperation,https://rffr.leggedrobotics.com/works/viserdex/;https://arxiv.org/abs/1808.00177;https://bigai-dex.github.io/blog/teledexter/,对应原图或官方任务族演示；详见素材说明,稳定持物，给定目标朝向，通过手指调整到目标并保持。,记录最小 SO(3) 朝向误差与保持时间；必须同时检查没有掉落。,"[{""source"": ""TELEDEXTER"", ""media"": ""td_cuboid"", ""label"": ""TeleDexter · 长方体抓型转换"", ""locator"": ""Any-grasp-to-any-grasp / Leap Hand / cuboid；物体与手的目标同时变化。"", ""scope"": ""对象重定向的相关证据；原演示还跟踪手部目标，完整联合目标动作见 I38。"", ""relation"": ""相关任务片段"", ""props"": [""cube"", ""cylinder"", ""bunny""]}]"
I03,掌系完整 6D 位姿到达,Palm-relative 6D pose reaching,inhand,direct,P10;P17;P18;P19,cube,摘要：palm-relative target pose,Learning In-Hand Object Reaching to General 6D Poses,https://arxiv.org/abs/2609.13761,对比参考：视频仅示朝向重定向，不演示完整 6D 目标,在手掌相对坐标系内同时指定物体的位置和朝向。,位置误差与旋转误差分别达标，并维持抓握；阈值由采集协议设定。,[]
I04,指尖到掌心转移,Finger-to-palm translation,inhand,adapted,P30;P10,coin,IHM 摘要分类；道具与执行方式为采集设计,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,项目总览参考，未定位该动作片段,用代币 / 硬币执行该类手内位移，保持前臂稳定。,依据掌系物体轨迹判断，单纯移动腕或手臂不算手内操作。,[]
I05,掌心到指尖转移,Palm-to-finger translation,inhand,adapted,P30;P10,coin;cross_block,IHM 摘要分类；道具与执行方式为采集设计,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior;World Synesthesia Model for Generalizable and Robust Dexterous In-Hand Manipulation,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://wmcraftnet.github.io/,项目总览参考，未定位该动作片段,用代币 / 硬币执行该类手内位移，保持前臂稳定。,依据掌系物体轨迹判断，单纯移动腕或手臂不算手内操作。,"[{""source"": ""WMCRAFT"", ""media"": ""wm_cross"", ""label"": ""WM-Craftnet · 十字块掌到指转移后旋转"", ""locator"": ""Challenging Initialization Pose / Cross block：0–7 s 掌到指，随后 Z 轴旋转。"", ""scope"": ""十字块掌到指转移子步骤（0–7 s），不是原硬币任务的逐项录像。"", ""relation"": ""不同道具的转移变体"", ""props"": [""cross_block""]}]"
I06,笔沿指腹小幅移位,Simple shift,inhand,adapted,P17;P10,pen,IHM 摘要分类；道具与执行方式为采集设计,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,项目总览参考，未定位该动作片段,用笔与笔帽执行该类手内位移，保持前臂稳定。,依据掌系物体轨迹判断，单纯移动腕或手臂不算手内操作。,[]
I07,多指配合复杂移位,Complex shift,inhand,adapted,P17;P20;P10,pen,IHM 摘要分类；道具与执行方式为采集设计,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,项目总览参考，未定位该动作片段,用笔与笔帽执行该类手内位移，保持前臂稳定。,依据掌系物体轨迹判断，单纯移动腕或手臂不算手内操作。,[]
I08,指间简单旋转,Simple rotation,inhand,adapted,P18;P10,coin,IHM 摘要分类；道具与执行方式为采集设计,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,项目总览参考，未定位该动作片段,用代币 / 硬币执行该类手内位移，保持前臂稳定。,依据掌系物体轨迹判断，单纯移动腕或手臂不算手内操作。,[]
I09,指间复杂旋转,Complex rotation,inhand,adapted,P18;P20;P10,pen,IHM 摘要分类；道具与执行方式为采集设计,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,项目总览参考，未定位该动作片段,用笔与笔帽执行该类手内位移，保持前臂稳定。,依据掌系物体轨迹判断，单纯移动腕或手臂不算手内操作。,[]
I10,掌系 X 方向平移,Translation X,inhand,extension,P10;P17,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Learning In-Hand Object Reaching to General 6D Poses;Classifying Human Manipulation Behavior,https://arxiv.org/abs/2609.13761;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,掌系 X 方向平移。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I11,掌系 Y 方向平移,Translation Y,inhand,extension,P10;P17,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Learning In-Hand Object Reaching to General 6D Poses;Classifying Human Manipulation Behavior,https://arxiv.org/abs/2609.13761;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,掌系 Y 方向平移。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I12,掌系 Z 方向平移,Translation Z,inhand,extension,P10;P17,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Learning In-Hand Object Reaching to General 6D Poses;Classifying Human Manipulation Behavior,https://arxiv.org/abs/2609.13761;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,掌系 Z 方向平移。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I13,绕掌系 X 轴定向旋转,Rotation X,inhand,extension,P10;P18;P19,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,ViserDex: Visual Sim-to-Real for Robust Dexterous In-hand Reorientation;Classifying Human Manipulation Behavior,https://rffr.leggedrobotics.com/works/viserdex/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,绕掌系 X 轴定向旋转。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I14,绕掌系 Y 轴定向旋转,Rotation Y,inhand,extension,P10;P18;P19,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,ViserDex: Visual Sim-to-Real for Robust Dexterous In-hand Reorientation;Classifying Human Manipulation Behavior,https://rffr.leggedrobotics.com/works/viserdex/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,绕掌系 Y 轴定向旋转。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I15,绕掌系 Z 轴定向旋转,Rotation Z,inhand,extension,P10;P18;P19,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,ViserDex: Visual Sim-to-Real for Robust Dexterous In-hand Reorientation;Classifying Human Manipulation Behavior,https://rffr.leggedrobotics.com/works/viserdex/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,绕掌系 Z 轴定向旋转。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I16,顺转—停住—逆转,Rotate-stop-reverse,inhand,extension,P10;P18;P19,cylinder,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,In-Hand Object Rotation via Rapid Motor Adaptation;Classifying Human Manipulation Behavior,https://haozhi.io/hora/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,顺转—停住—逆转。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I17,连续目标朝向序列,Sequential orientation targets,inhand,extension,P10;P18;P19,cube,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,ViserDex: Visual Sim-to-Real for Robust Dexterous In-hand Reorientation;Classifying Human Manipulation Behavior,https://rffr.leggedrobotics.com/works/viserdex/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,连续目标朝向序列。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I18,连续位置与朝向目标,Sequential 6D targets,inhand,extension,P10;P17;P18;P19,prism,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Learning In-Hand Object Reaching to General 6D Poses;Classifying Human Manipulation Behavior,https://arxiv.org/abs/2609.13761;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,连续位置与朝向目标。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I19,指尖滚球,Fingertip rolling,inhand,extension,P10;P21;P18,sphere,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Classifying Human Manipulation Behavior;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,指尖滚球。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I20,指腹滑移调整,Sliding regrasp,inhand,extension,P10;P22;P17,pen,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Classifying Human Manipulation Behavior;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,指腹滑移调整。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I21,支点旋转,Pivot around contact,inhand,extension,P10;P18;P21,prism,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Classifying Human Manipulation Behavior;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,支点旋转。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I22,交替换食指与中指,Alternating finger gait,inhand,extension,P10;P20,cylinder,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,In-Hand Object Rotation via Rapid Motor Adaptation;Classifying Human Manipulation Behavior,https://haozhi.io/hora/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,交替换食指与中指。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I23,三指抓转为二指捏,Tripod-to-pinch transition,inhand,extension,P10;P20;P11,coin,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,The GRASP Taxonomy of Human Grasp Types;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,三指抓转为二指捏。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I24,掌握转为指尖抓,Power-to-precision transition,inhand,extension,P10;P20;P14;P12,sphere,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,The GRASP Taxonomy of Human Grasp Types;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/Feix_THMS2016.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,掌握转为指尖抓。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I25,硬币翻面 180°,Coin flip in hand,inhand,extension,P10;P18;P20,coin,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Classifying Human Manipulation Behavior;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,硬币翻面 180°。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I26,笔调至书写姿态,Pen reorientation,inhand,extension,P10;P18;P20,pen,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Classifying Human Manipulation Behavior;Classifying Human Manipulation Behavior,https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,笔调至书写姿态。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I27,掌内暂存后逐枚取出,Sequential coin storage,inhand,extension,P10;P30;P12,coin,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Conceptualising a modified system for classification of in-hand manipulation;Classifying Human Manipulation Behavior,https://pubmed.ncbi.nlm.nih.gov/20854484/;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf,同类参考；尚无该扩展动作的逐项演示,掌内暂存后逐枚取出。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,[]
I28,小扰动后的位姿恢复,Disturbance recovery,inhand,extension,P10;P19;P31,sphere;corner_block;duck,本库扩展；原文支持任务族 / 元动作，未声称为原论文独立任务,Learning In-Hand Object Reaching to General 6D Poses;Classifying Human Manipulation Behavior;World Synesthesia Model for Generalizable and Robust Dexterous In-Hand Manipulation,https://arxiv.org/abs/2609.13761;https://www.eng.yale.edu/grablab/pubs/bullock_icorr2011.pdf;https://wmcraftnet.github.io/,同类参考；尚无该扩展动作的逐项演示,小扰动后的位姿恢复。固定手掌参考系，显式记录初始物体位姿和目标 / 路径。,运动主要来自手指；记录接触切换、轨迹误差与掉落。建议目标保持 1 s；这是本库默认值。,"[{""source"": ""WMCRAFT"", ""media"": ""wm_perturb"", ""label"": ""WM-Craftnet · 扰动后恢复连续旋转"", ""locator"": ""Real-world perturbation recovery：3–5 s、22–25 s 人为扰动。"", ""scope"": ""支持恢复可控抓握并续转；没有声明返回指定的完整 6D 目标。"", ""relation"": ""对应任务 / 条件"", ""props"": [""corner_block""]}, {""source"": ""WMCRAFT"", ""media"": ""wm_ood"", ""label"": ""WM-Craftnet · 更换物体后恢复可控抓握"", ""locator"": ""OOD-to-duck recovery：换入鸭子后恢复；不意味着原 OOD 物体也已成功。"", ""scope"": ""更换为鸭子后恢复可控抓握；不代表扰动前后的物体一致。"", ""relation"": ""对应任务 / 条件"", ""props"": [""duck""]}]"
